id_jogo,ano,serie,fase,rodada,data,mandante,visitante,gols_m,gols_v,tapetao_m,tapetao_v,status,sofascore_id
A2026.1,2026,A,Única,1,2026-01-28,ATLÉTICO (MG),PALMEIRAS (SP),2,2,0,0,realizado,15237889
A2026.2,2026,A,Única,1,2026-01-28,CHAPECOENSE (SC),SANTOS (SP),4,2,0,0,realizado,15237893
A2026.3,2026,A,Única,1,2026-01-28,CORINTHIANS (SP),BAHIA (BA),1,2,0,0,realizado,15237887
A2026.4,2026,A,Única,1,2026-01-28,CORITIBA (PR),RED BULL BRAGANTINO (SP),0,1,0,0,realizado,15237891
A2026.5,2026,A,Única,1,2026-01-28,FLUMINENSE (RJ),GRÊMIO (RS),2,1,0,0,realizado,15237884
A2026.6,2026,A,Única,1,2026-01-28,INTERNACIONAL (RS),ATHLETICO (PR),0,1,0,0,realizado,15237890
A2026.7,2026,A,Única,1,2026-01-28,SÃO PAULO (SP),FLAMENGO (RJ),2,1,0,0,realizado,15237886
A2026.8,2026,A,Única,1,2026-01-28,VITÓRIA (BA),REMO (PA),2,0,0,0,realizado,15237892
A2026.9,2026,A,Única,1,2026-01-29,BOTAFOGO (RJ),CRUZEIRO (MG),4,0,0,0,realizado,15237885
A2026.10,2026,A,Única,1,2026-01-29,MIRASSOL (SP),VASCO DA GAMA (RJ),2,1,0,0,realizado,15237888
A2026.11,2026,A,Única,2,2026-02-04,FLAMENGO (RJ),INTERNACIONAL (RS),1,1,0,0,realizado,15237894
A2026.12,2026,A,Única,2,2026-02-04,GRÊMIO (RS),BOTAFOGO (RJ),5,3,0,0,realizado,15237900
A2026.13,2026,A,Única,2,2026-02-04,PALMEIRAS (SP),VITÓRIA (BA),5,1,0,0,realizado,15237897
A2026.14,2026,A,Única,2,2026-02-04,RED BULL BRAGANTINO (SP),ATLÉTICO (MG),1,0,0,0,realizado,15237898
A2026.15,2026,A,Única,2,2026-02-04,REMO (PA),MIRASSOL (SP),2,2,0,0,realizado,15237903
A2026.16,2026,A,Única,2,2026-02-04,SANTOS (SP),SÃO PAULO (SP),1,1,0,0,realizado,15237896
A2026.17,2026,A,Única,2,2026-02-05,BAHIA (BA),FLUMINENSE (RJ),1,1,0,0,realizado,15237902
A2026.18,2026,A,Única,2,2026-02-05,CRUZEIRO (MG),CORITIBA (PR),1,2,0,0,realizado,15237899
A2026.19,2026,A,Única,2,2026-02-05,VASCO DA GAMA (RJ),CHAPECOENSE (SC),1,1,0,0,realizado,15237895
A2026.20,2026,A,Única,2,2026-02-19,ATHLETICO (PR),CORINTHIANS (SP),0,1,0,0,realizado,15369877
A2026.21,2026,A,Única,3,2026-02-10,VITÓRIA (BA),FLAMENGO (RJ),1,2,0,0,realizado,15237912
A2026.22,2026,A,Única,3,2026-02-11,ATLÉTICO (MG),REMO (PA),3,3,0,0,realizado,15237909
A2026.23,2026,A,Única,3,2026-02-11,CHAPECOENSE (SC),CORITIBA (PR),3,3,0,0,realizado,15237913
A2026.24,2026,A,Única,3,2026-02-11,MIRASSOL (SP),CRUZEIRO (MG),2,2,0,0,realizado,15237908
A2026.25,2026,A,Única,3,2026-02-11,SÃO PAULO (SP),GRÊMIO (RS),2,0,0,0,realizado,15237906
A2026.26,2026,A,Única,3,2026-02-11,VASCO DA GAMA (RJ),BAHIA (BA),0,1,0,0,realizado,15237905
A2026.27,2026,A,Única,3,2026-02-12,ATHLETICO (PR),SANTOS (SP),2,1,0,0,realizado,15237911
A2026.28,2026,A,Única,3,2026-02-12,CORINTHIANS (SP),RED BULL BRAGANTINO (SP),2,0,0,0,realizado,15237907
A2026.29,2026,A,Única,3,2026-02-12,FLUMINENSE (RJ),BOTAFOGO (RJ),1,0,0,0,realizado,15237904
A2026.30,2026,A,Única,3,2026-02-12,INTERNACIONAL (RS),PALMEIRAS (SP),1,3,0,0,realizado,15237910
A2026.31,2026,A,Única,4,2026-02-25,CORITIBA (PR),SÃO PAULO (SP),0,1,0,0,realizado,15237922
A2026.32,2026,A,Única,4,2026-02-25,CRUZEIRO (MG),CORINTHIANS (SP),1,1,0,0,realizado,15237919
A2026.33,2026,A,Única,4,2026-02-25,GRÊMIO (RS),ATLÉTICO (MG),2,1,0,0,realizado,15237921
A2026.34,2026,A,Única,4,2026-02-25,PALMEIRAS (SP),FLUMINENSE (RJ),2,1,0,0,realizado,15237917
A2026.35,2026,A,Única,4,2026-02-25,RED BULL BRAGANTINO (SP),ATHLETICO (PR),1,1,0,0,realizado,15237918
