id_jogo,ano,serie,fase,rodada,data,mandante,visitante,gols_m,gols_v,tapetao_m,tapetao_v,status,sofascore_id
B2026.1,2026,B,Única,1,2026-03-21,BOTAFOGO (SP),FORTALEZA (CE),4,0,0,0,realizado,15525984
B2026.2,2026,B,Única,1,2026-03-21,CEARÁ (CE),SÃO BERNARDO (SP),1,1,0,0,realizado,15525988
B2026.3,2026,B,Única,1,2026-03-21,CUIABÁ (MT),SPORT (PE),0,0,0,0,realizado,15525993
B2026.4,2026,B,Única,1,2026-03-21,OPERÁRIO (PR),ATLÉTICO (GO),1,0,0,0,realizado,15525987
B2026.5,2026,B,Única,1,2026-03-21,VILA NOVA (GO),CRB (AL),2,2,0,0,realizado,15525994
B2026.6,2026,B,Única,1,2026-03-22,ATHLETIC (MG),PONTE PRETA (SP),2,1,0,0,realizado,15525986
B2026.7,2026,B,Única,1,2026-03-22,AVAÍ (SC),JUVENTUDE (RS),2,0,0,0,realizado,15525991
B2026.8,2026,B,Única,1,2026-03-22,GOIÁS (GO),AMÉRICA (MG),3,1,0,0,realizado,15525989
B2026.9,2026,B,Única,1,2026-03-22,NOVORIZONTINO (SP),LONDRINA (PR),1,3,0,0,realizado,15525985
B2026.10,2026,B,Única,1,2026-03-22,NÁUTICO (PE),CRICIÚMA (SC),0,1,0,0,realizado,15525992
B2026.11,2026,B,Única,2,2026-03-31,FORTALEZA (CE),CUIABÁ (MT),0,0,0,0,realizado,15525999
B2026.12,2026,B,Única,2,2026-03-31,JUVENTUDE (RS),NOVORIZONTINO (SP),0,0,0,0,realizado,15526004
B2026.13,2026,B,Única,2,2026-04-01,AMÉRICA (MG),BOTAFOGO (SP),1,2,0,0,realizado,15525997
B2026.14,2026,B,Única,2,2026-04-01,ATLÉTICO (GO),NÁUTICO (PE),1,2,0,0,realizado,15526000
B2026.15,2026,B,Única,2,2026-04-01,CRB (AL),AVAÍ (SC),0,1,0,0,realizado,15526003
B2026.16,2026,B,Única,2,2026-04-01,CRICIÚMA (SC),ATHLETIC (MG),1,1,0,0,realizado,15526001
B2026.17,2026,B,Única,2,2026-04-01,LONDRINA (PR),GOIÁS (GO),2,2,0,0,realizado,15525998
B2026.18,2026,B,Única,2,2026-04-01,PONTE PRETA (SP),CEARÁ (CE),1,1,0,0,realizado,15525995
B2026.19,2026,B,Única,2,2026-04-01,SPORT (PE),VILA NOVA (GO),1,1,0,0,realizado,15526002
B2026.20,2026,B,Única,2,2026-04-02,SÃO BERNARDO (SP),OPERÁRIO (PR),1,2,0,0,realizado,15525996
B2026.21,2026,B,Única,3,2026-04-04,CUIABÁ (MT),CEARÁ (CE),0,2,0,0,realizado,15526013
B2026.22,2026,B,Única,3,2026-04-04,FORTALEZA (CE),JUVENTUDE (RS),2,1,0,0,realizado,15526009
B2026.23,2026,B,Única,3,2026-04-04,LONDRINA (PR),SPORT (PE),1,2,0,0,realizado,15526008
B2026.24,2026,B,Única,3,2026-04-04,NÁUTICO (PE),PONTE PRETA (SP),1,0,0,0,realizado,15526012
B2026.25,2026,B,Única,3,2026-04-04,VILA NOVA (GO),ATLÉTICO (GO),2,1,0,0,realizado,15526014
B2026.26,2026,B,Única,3,2026-04-05,ATHLETIC (MG),AMÉRICA (MG),1,1,0,0,realizado,15526007
B2026.27,2026,B,Única,3,2026-04-05,AVAÍ (SC),OPERÁRIO (PR),0,0,0,0,realizado,15526011
B2026.28,2026,B,Única,3,2026-04-05,BOTAFOGO (SP),SÃO BERNARDO (SP),1,2,0,0,realizado,15526005
B2026.29,2026,B,Única,3,2026-04-05,NOVORIZONTINO (SP),CRB (AL),1,1,0,0,realizado,15526006
B2026.30,2026,B,Única,3,2026-04-06,GOIÁS (GO),CRICIÚMA (SC),1,0,0,0,realizado,15526010
B2026.31,2026,B,Única,4,2026-04-10,CRICIÚMA (SC),BOTAFOGO (SP),1,0,0,0,realizado,15526021
B2026.32,2026,B,Única,4,2026-04-11,CEARÁ (CE),NÁUTICO (PE),1,0,0,0,realizado,15526019
B2026.33,2026,B,Única,4,2026-04-11,JUVENTUDE (RS),GOIÁS (GO),2,0,0,0,realizado,15526024
B2026.34,2026,B,Única,4,2026-04-11,PONTE PRETA (SP),VILA NOVA (GO),0,1,0,0,realizado,15526015
B2026.35,2026,B,Única,4,2026-04-11,SPORT (PE),AVAÍ (SC),2,2,0,0,realizado,15526022
B2026.36,2026,B,Única,4,2026-04-12,AMÉRICA (MG),NOVORIZONTINO (SP),0,3,0,0,realizado,15526017
B2026.37,2026,B,Única,4,2026-04-12,ATLÉTICO (GO),LONDRINA (PR),2,1,0,0,realizado,15526020
B2026.38,2026,B,Única,4,2026-04-12,CRB (AL),ATHLETIC (MG),2,3,0,0,realizado,15526023
B2026.39,2026,B,Única,4,2026-04-12,OPERÁRIO (PR),CUIABÁ (MT),0,0,0,0,realizado,15526018
B2026.40,2026,B,Única,4,2026-04-12,SÃO BERNARDO (SP),FORTALEZA (CE),0,1,0,0,realizado,15526016
B2026.41,2026,B,Única,5,2026-04-18,AMÉRICA (MG),SPORT (PE),0,0,0,0,realizado,15526027
B2026.42,2026,B,Única,5,2026-04-18,AVAÍ (SC),PONTE PRETA (SP),1,2,0,0,realizado,15526031
B2026.43,2026,B,Única,5,2026-04-18,CRB (AL),JUVENTUDE (RS),0,1,0,0,realizado,15526033
B2026.44,2026,B,Única,5,2026-04-18,NÁUTICO (PE),SÃO BERNARDO (SP),0,3,0,0,realizado,15526032
B2026.45,2026,B,Única,5,2026-04-18,VILA NOVA (GO),OPERÁRIO (PR),2,1,0,0,realizado,15526034
B2026.46,2026,B,Única,5,2026-04-19,BOTAFOGO (SP),ATLÉTICO (GO),1,1,0,0,realizado,15526025
B2026.47,2026,B,Única,5,2026-04-19,FORTALEZA (CE),CRICIÚMA (SC),3,2,0,0,realizado,15526029
B2026.48,2026,B,Única,5,2026-04-19,GOIÁS (GO),CUIABÁ (MT),0,2,0,0,realizado,15526030
B2026.49,2026,B,Única,5,2026-04-19,LONDRINA (PR),CEARÁ (CE),0,0,0,0,realizado,15526028
B2026.50,2026,B,Única,5,2026-04-19,NOVORIZONTINO (SP),ATHLETIC (MG),2,1,0,0,realizado,15526026
B2026.51,2026,B,Única,6,2026-04-22,CUIABÁ (MT),BOTAFOGO (SP),1,1,0,0,realizado,15526044
B2026.52,2026,B,Única,6,2026-04-24,PONTE PRETA (SP),AMÉRICA (MG),1,0,0,0,realizado,15526035
B2026.53,2026,B,Única,6,2026-04-25,JUVENTUDE (RS),LONDRINA (PR),1,0,0,0,realizado,15526045
B2026.54,2026,B,Única,6,2026-04-25,SPORT (PE),NOVORIZONTINO (SP),1,0,0,0,realizado,15526043
B2026.55,2026,B,Única,6,2026-04-26,ATLÉTICO (GO),AVAÍ (SC),2,1,0,0,realizado,15526041
B2026.56,2026,B,Única,6,2026-04-26,CEARÁ (CE),VILA NOVA (GO),3,3,0,0,realizado,15526040
B2026.57,2026,B,Única,6,2026-04-26,CRICIÚMA (SC),CRB (AL),3,1,0,0,realizado,15526042
B2026.58,2026,B,Única,6,2026-04-26,OPERÁRIO (PR),FORTALEZA (CE),0,0,0,0,realizado,15526039
B2026.59,2026,B,Única,6,2026-04-26,SÃO BERNARDO (SP),GOIÁS (GO),1,0,0,0,realizado,15526037
B2026.60,2026,B,Única,6,2026-04-27,ATHLETIC (MG),NÁUTICO (PE),0,1,0,0,realizado,16023898
B2026.61,2026,B,Única,7,2026-05-02,BOTAFOGO (SP),NÁUTICO (PE),1,1,0,0,realizado,15526047
B2026.62,2026,B,Única,7,2026-05-02,CUIABÁ (MT),CRICIÚMA (SC),1,1,0,0,realizado,15526073
B2026.63,2026,B,Única,7,2026-05-02,FORTALEZA (CE),GOIÁS (GO),4,1,0,0,realizado,15526051
B2026.64,2026,B,Única,7,2026-05-03,AMÉRICA (MG),CRB (AL),1,2,0,0,realizado,15526049
B2026.65,2026,B,Única,7,2026-05-03,ATLÉTICO (GO),JUVENTUDE (RS),0,0,0,0,realizado,15526052
B2026.66,2026,B,Única,7,2026-05-03,AVAÍ (SC),NOVORIZONTINO (SP),3,3,0,0,realizado,15526057
B2026.67,2026,B,Única,7,2026-05-03,OPERÁRIO (PR),LONDRINA (PR),3,0,0,0,realizado,15526050
B2026.68,2026,B,Única,7,2026-05-03,SPORT (PE),CEARÁ (CE),2,0,0,0,realizado,15526072
B2026.69,2026,B,Única,7,2026-05-03,SÃO BERNARDO (SP),PONTE PRETA (SP),3,0,0,0,realizado,15526048
B2026.70,2026,B,Única,7,2026-05-04,VILA NOVA (GO),ATHLETIC (MG),1,1,0,0,realizado,15526074
B2026.71,2026,B,Única,8,2026-05-09,ATHLETIC (MG),CUIABÁ (MT),0,0,0,0,realizado,15526078
B2026.72,2026,B,Única,8,2026-05-09,CEARÁ (CE),ATLÉTICO (GO),0,1,0,0,realizado,15526080
B2026.73,2026,B,Única,8,2026-05-09,CRB (AL),OPERÁRIO (PR),3,0,0,0,realizado,15526084
B2026.74,2026,B,Única,8,2026-05-09,GOIÁS (GO),VILA NOVA (GO),1,0,0,0,realizado,15526081
B2026.75,2026,B,Única,8,2026-05-09,JUVENTUDE (RS),CRICIÚMA (SC),0,0,0,0,realizado,15526085
B2026.76,2026,B,Única,8,2026-05-09,PONTE PRETA (SP),SPORT (PE),1,3,0,0,realizado,15526075
B2026.77,2026,B,Única,8,2026-05-10,AVAÍ (SC),FORTALEZA (CE),0,0,0,0,realizado,15526082
B2026.78,2026,B,Única,8,2026-05-10,NOVORIZONTINO (SP),BOTAFOGO (SP),1,0,0,0,realizado,15526076
B2026.79,2026,B,Única,8,2026-05-10,NÁUTICO (PE),AMÉRICA (MG),4,0,0,0,realizado,15526083
B2026.80,2026,B,Única,8,2026-05-12,LONDRINA (PR),SÃO BERNARDO (SP),1,3,0,0,realizado,16127067
B2026.81,2026,B,Única,9,2026-05-16,CUIABÁ (MT),NOVORIZONTINO (SP),0,0,0,0,realizado,15526094
B2026.82,2026,B,Única,9,2026-05-16,GOIÁS (GO),BOTAFOGO (SP),1,0,0,0,realizado,15526091
B2026.83,2026,B,Única,9,2026-05-16,OPERÁRIO (PR),NÁUTICO (PE),2,6,0,0,realizado,15526089
B2026.84,2026,B,Única,9,2026-05-16,SÃO BERNARDO (SP),AMÉRICA (MG),1,1,0,0,realizado,15526087
B2026.85,2026,B,Única,9,2026-05-17,ATHLETIC (MG),JUVENTUDE (RS),1,1,0,0,realizado,15526088
B2026.86,2026,B,Única,9,2026-05-17,CEARÁ (CE),FORTALEZA (CE),2,1,0,0,realizado,15526090
B2026.87,2026,B,Única,9,2026-05-17,CRICIÚMA (SC),ATLÉTICO (GO),1,1,0,0,realizado,15526092
B2026.88,2026,B,Única,9,2026-05-17,SPORT (PE),CRB (AL),1,2,0,0,realizado,15526093
B2026.89,2026,B,Única,9,2026-05-17,VILA NOVA (GO),AVAÍ (SC),2,0,0,0,realizado,15526095
B2026.90,2026,B,Única,9,2026-05-18,PONTE PRETA (SP),LONDRINA (PR),1,4,0,0,realizado,15526086
B2026.91,2026,B,Única,10,2026-05-22,NÁUTICO (PE),CUIABÁ (MT),1,0,0,0,realizado,15526104
B2026.92,2026,B,Única,10,2026-05-23,FORTALEZA (CE),LONDRINA (PR),3,0,0,0,realizado,15526101
B2026.93,2026,B,Única,10,2026-05-23,JUVENTUDE (RS),SPORT (PE),0,1,0,0,realizado,15526106
B2026.94,2026,B,Única,10,2026-05-23,NOVORIZONTINO (SP),CEARÁ (CE),2,1,0,0,realizado,15526098
B2026.95,2026,B,Única,10,2026-05-24,AMÉRICA (MG),VILA NOVA (GO),1,2,0,0,realizado,15526099
B2026.96,2026,B,Única,10,2026-05-24,ATLÉTICO (GO),SÃO BERNARDO (SP),0,1,0,0,realizado,15526102
B2026.97,2026,B,Única,10,2026-05-24,AVAÍ (SC),GOIÁS (GO),0,2,0,0,realizado,15526103
B2026.98,2026,B,Única,10,2026-05-24,CRB (AL),PONTE PRETA (SP),4,2,0,0,realizado,15526105
B2026.99,2026,B,Única,10,2026-05-24,OPERÁRIO (PR),CRICIÚMA (SC),1,1,0,0,realizado,15526100
B2026.100,2026,B,Única,10,2026-05-25,BOTAFOGO (SP),ATHLETIC (MG),1,2,0,0,realizado,15526097
B2026.101,2026,B,Única,11,2026-05-29,JUVENTUDE (RS),AMÉRICA (MG),3,0,0,0,realizado,15526116
B2026.102,2026,B,Única,11,2026-05-30,ATHLETIC (MG),FORTALEZA (CE),1,0,0,0,realizado,15526109
B2026.103,2026,B,Única,11,2026-05-30,ATLÉTICO (GO),GOIÁS (GO),1,1,0,0,realizado,15526112
B2026.104,2026,B,Única,11,2026-05-30,AVAÍ (SC),CRICIÚMA (SC),1,2,0,0,realizado,15526113
B2026.105,2026,B,Única,11,2026-05-30,SPORT (PE),NÁUTICO (PE),2,0,0,0,realizado,15526114
B2026.106,2026,B,Única,11,2026-05-31,CEARÁ (CE),OPERÁRIO (PR),1,2,0,0,realizado,15526111
B2026.107,2026,B,Única,11,2026-05-31,CUIABÁ (MT),CRB (AL),2,0,0,0,realizado,15526115
B2026.108,2026,B,Única,11,2026-05-31,LONDRINA (PR),VILA NOVA (GO),0,1,0,0,realizado,15526110
B2026.109,2026,B,Única,11,2026-05-31,SÃO BERNARDO (SP),NOVORIZONTINO (SP),1,1,0,0,realizado,15526108
B2026.110,2026,B,Única,11,2026-06-01,PONTE PRETA (SP),BOTAFOGO (SP),0,0,0,0,realizado,15526107
B2026.111,2026,B,Única,12,2026-06-05,OPERÁRIO (PR),JUVENTUDE (RS),2,1,0,0,realizado,15526120
B2026.112,2026,B,Única,12,2026-06-06,CRICIÚMA (SC),LONDRINA (PR),1,0,0,0,realizado,15526123
B2026.113,2026,B,Única,12,2026-06-07,CRB (AL),SÃO BERNARDO (SP),2,3,0,0,realizado,15526125
B2026.114,2026,B,Única,12,2026-06-08,AMÉRICA (MG),ATLÉTICO (GO),1,2,0,0,realizado,15526119
B2026.115,2026,B,Única,12,2026-06-08,VILA NOVA (GO),BOTAFOGO (SP),1,0,0,0,realizado,15526126
B2026.116,2026,B,Única,12,2026-06-09,NÁUTICO (PE),FORTALEZA (CE),0,1,0,0,realizado,15526124
B2026.117,2026,B,Única,12,2026-06-09,PONTE PRETA (SP),CUIABÁ (MT),1,2,0,0,realizado,15526117
B2026.118,2026,B,Única,12,2026-06-10,CEARÁ (CE),AVAÍ (SC),2,1,0,0,realizado,15526121
B2026.119,2026,B,Única,12,2026-06-10,GOIÁS (GO),NOVORIZONTINO (SP),0,4,0,0,realizado,15526122
B2026.120,2026,B,Única,12,2026-06-10,SPORT (PE),ATHLETIC (MG),1,1,0,0,realizado,15526118
