serie_2026,sofascore_id,sofascore_nome,equipe,sigla
A,1967,Athletico,ATHLETICO (PR),ATH
A,1977,Atlético Mineiro,ATLÉTICO (MG),CAM
A,1955,Bahia,BAHIA (BA),BAH
A,1958,Botafogo,BOTAFOGO (RJ),BOT
A,21845,Chapecoense,CHAPECOENSE (SC),CHA
A,1957,Corinthians,CORINTHIANS (SP),COR
A,1982,Coritiba,CORITIBA (PR),CTB
A,1954,Cruzeiro,CRUZEIRO (MG),CRU
A,5981,Flamengo,FLAMENGO (RJ),FLA
A,1961,Fluminense,FLUMINENSE (RJ),FLU
A,5926,Grêmio,GRÊMIO (RS),GRE
A,1966,Internacional,INTERNACIONAL (RS),INT
A,21982,Mirassol,MIRASSOL (SP),MRS
A,1963,Palmeiras,PALMEIRAS (SP),PAL
A,1999,Red Bull Bragantino,RED BULL BRAGANTINO (SP),RBB
A,2012,Remo,REMO (PA),REM
A,1968,Santos,SANTOS (SP),SAN
A,1981,São Paulo,SÃO PAULO (SP),SPA
A,1974,Vasco da Gama,VASCO DA GAMA (RJ),VAS
A,1962,Vitória,VITÓRIA (BA),VIT
B,1973,América Mineiro,AMÉRICA (MG),AMG
B,342775,Athletic Club,ATHLETIC (MG),ATC
B,7314,Atlético Goianiense,ATLÉTICO (GO),AGO
B,7315,Avaí,AVAÍ (SC),AVA
B,1979,Botafogo-SP,BOTAFOGO (SP),BSP
B,2001,Ceará,CEARÁ (CE),CEA
B,22032,Clube De Regatas Brasil,CRB (AL),CRB
B,1984,Criciúma,CRICIÚMA (SC),CRI
B,49202,Cuiabá,CUIABÁ (MT),CUI
B,2020,Fortaleza,FORTALEZA (CE),FOR
B,1960,Goiás,GOIÁS (GO),GOI
B,1980,Juventude,JUVENTUDE (RS),JUV
B,2022,Londrina,LONDRINA (PR),LON
B,135514,Grêmio Novorizontino,NOVORIZONTINO (SP),NOV
B,2011,Náutico,NÁUTICO (PE),NAU
B,39634,Operário-PR,OPERÁRIO (PR),OPE
B,1969,Ponte Preta,PONTE PRETA (SP),PON
B,1959,Sport Recife,SPORT (PE),SPO
B,47504,São Bernardo,SÃO BERNARDO (SP),SBR
B,2021,Vila Nova FC,VILA NOVA (GO),VLN
